date,pm2_5,pm10,carbon_dioxide,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2025-05-29 05:00:00+05:00,13.4,34.8,,121.0,3.9,2.8,62.0
2025-05-29 06:00:00+05:00,14.0,37.3,,151.0,6.0,3.1,61.0
2025-05-29 07:00:00+05:00,15.1,41.7,,192.0,8.9,3.5,61.0
2025-05-29 08:00:00+05:00,18.3,63.1,,220.0,10.6,4.0,65.0
2025-05-29 09:00:00+05:00,21.9,97.6,,224.0,9.8,4.5,78.0
2025-05-29 10:00:00+05:00,27.1,141.6,,216.0,7.9,5.1,97.0
2025-05-29 11:00:00+05:00,33.3,189.1,,208.0,6.3,5.5,111.0
2025-05-29 12:00:00+05:00,35.9,203.5,,205.0,5.7,5.5,119.0
2025-05-29 13:00:00+05:00,34.9,188.1,,203.0,5.6,5.4,124.0
2025-05-29 14:00:00+05:00,34.2,169.0,,203.0,5.9,5.1,122.0
2025-05-29 15:00:00+05:00,33.5,152.3,,206.0,7.0,4.7,110.0
2025-05-29 16:00:00+05:00,31.3,132.7,,211.0,8.5,4.2,92.0
2025-05-29 17:00:00+05:00,22.1,93.8,,212.0,9.9,3.8,76.0
2025-05-29 18:00:00+05:00,16.9,57.9,,209.0,11.2,3.8,69.0
2025-05-29 19:00:00+05:00,14.9,40.6,,203.0,12.8,3.7,58.0
2025-05-29 20:00:00+05:00,15.4,40.6,,196.0,13.7,3.6,51.0
2025-05-29 21:00:00+05:00,15.9,40.2,,186.0,13.1,3.5,50.0
2025-05-29 22:00:00+05:00,15.9,38.9,,174.0,11.8,3.4,51.0
2025-05-29 23:00:00+05:00,15.3,41.4,,160.0,10.1,3.3,53.0
2025-05-30 00:00:00+05:00,15.0,42.1,,141.0,8.0,3.1,55.0
2025-05-30 01:00:00+05:00,14.9,42.4,,120.0,5.7,2.8,57.0
2025-05-30 02:00:00+05:00,14.8,41.8,,105.0,4.0,2.6,59.0
2025-05-30 03:00:00+05:00,14.7,41.4,,97.0,3.3,2.6,60.0
2025-05-30 04:00:00+05:00,14.4,41.0,,95.0,3.2,2.8,60.0
2025-05-30 05:00:00+05:00,14.7,40.7,,107.0,4.4,3.3,58.0
2025-05-30 06:00:00+05:00,15.1,40.9,,136.0,6.5,3.8,57.0
2025-05-30 07:00:00+05:00,16.3,43.4,,176.0,9.4,4.4,57.0
2025-05-30 08:00:00+05:00,17.3,49.5,,207.0,11.1,5.3,63.0
2025-05-30 09:00:00+05:00,18.6,61.5,,220.0,10.7,6.6,81.0
2025-05-30 10:00:00+05:00,20.5,79.6,,224.0,9.1,8.0,104.0
2025-05-30 11:00:00+05:00,22.5,94.8,,224.0,7.8,8.9,122.0
2025-05-30 12:00:00+05:00,22.8,96.2,,219.0,6.9,8.9,130.0
2025-05-30 13:00:00+05:00,23.0,97.1,,211.0,6.3,8.4,133.0
2025-05-30 14:00:00+05:00,24.0,106.4,,207.0,6.3,7.6,129.0
2025-05-30 15:00:00+05:00,24.7,111.5,,215.0,7.4,6.5,115.0
2025-05-30 16:00:00+05:00,24.6,110.6,,227.0,9.2,5.2,94.0
2025-05-30 17:00:00+05:00,19.5,82.0,,228.0,11.2,5.4,79.0
2025-05-30 18:00:00+05:00,18.3,71.7,,235.0,13.6,4.9,69.0
2025-05-30 19:00:00+05:00,17.0,59.8,,243.0,16.8,4.3,56.0
2025-05-30 20:00:00+05:00,16.5,50.4,,246.0,18.8,4.0,47.0
2025-05-30 21:00:00+05:00,16.6,46.6,,239.0,18.5,4.3,46.0
2025-05-30 22:00:00+05:00,16.9,45.8,,226.0,17.1,4.9,50.0
2025-05-30 23:00:00+05:00,17.3,46.2,,211.0,15.2,5.2,53.0
2025-05-31 00:00:00+05:00,17.2,47.6,,194.0,13.0,5.0,55.0
2025-05-31 01:00:00+05:00,16.6,46.1,,174.0,10.5,4.6,57.0
2025-05-31 02:00:00+05:00,15.7,46.7,,158.0,8.4,4.2,58.0
2025-05-31 03:00:00+05:00,15.0,45.9,,145.0,7.1,4.0,58.0
2025-05-31 04:00:00+05:00,14.5,44.8,,135.0,6.3,3.9,56.0
2025-05-31 05:00:00+05:00,14.1,50.8,,132.0,5.8,3.9,55.0
2025-05-31 06:00:00+05:00,15.4,51.7,,155.0,7.3,4.5,54.0
2025-05-31 07:00:00+05:00,17.2,61.5,,186.0,9.3,5.3,54.0
2025-05-31 08:00:00+05:00,18.0,65.9,,207.0,10.3,6.1,59.0
2025-05-31 09:00:00+05:00,19.3,80.3,,210.0,9.3,6.6,73.0
2025-05-31 10:00:00+05:00,21.2,95.7,,203.0,7.3,7.0,92.0
2025-05-31 11:00:00+05:00,23.9,117.3,,197.0,5.7,7.5,107.0
2025-05-31 12:00:00+05:00,25.8,130.4,,194.0,5.0,8.2,116.0
2025-05-31 13:00:00+05:00,28.0,147.1,,192.0,4.8,8.8,122.0
2025-05-31 14:00:00+05:00,30.0,162.5,,195.0,5.2,9.1,123.0
2025-05-31 15:00:00+05:00,32.6,180.7,,208.0,6.6,8.6,116.0
2025-05-31 16:00:00+05:00,34.5,193.2,,227.0,8.8,7.7,104.0
2025-05-31 17:00:00+05:00,20.0,107.3,,196.0,7.6,6.4,76.0
2025-05-31 18:00:00+05:00,18.0,87.3,,197.0,9.2,5.9,68.0
2025-05-31 19:00:00+05:00,15.9,66.1,,199.0,11.3,5.1,57.0
2025-05-31 20:00:00+05:00,15.5,56.3,,198.0,12.6,4.6,49.0
2025-05-31 21:00:00+05:00,16.5,65.0,,195.0,12.5,4.5,48.0
2025-05-31 22:00:00+05:00,17.6,72.2,,189.0,11.7,4.6,51.0
2025-05-31 23:00:00+05:00,17.9,69.6,,181.0,10.4,4.5,54.0
2025-06-01 00:00:00+05:00,17.8,69.4,,167.0,8.6,4.1,58.0
2025-06-01 01:00:00+05:00,17.5,69.6,,149.0,6.4,3.5,62.0
2025-06-01 02:00:00+05:00,17.6,68.2,,136.0,4.8,3.1,65.0
2025-06-01 03:00:00+05:00,17.5,65.0,,127.0,3.9,3.0,66.0
2025-06-01 04:00:00+05:00,17.8,62.9,,123.0,3.6,3.0,67.0
2025-06-01 05:00:00+05:00,17.7,59.6,,130.0,4.5,3.3,66.0
2025-06-01 06:00:00+05:00,20.7,79.6,,170.0,8.0,3.8,64.0
2025-06-01 07:00:00+05:00,25.1,102.2,,225.0,12.7,4.6,62.0
2025-06-01 08:00:00+05:00,31.9,149.9,,265.0,15.5,5.5,67.0
2025-06-01 09:00:00+05:00,41.6,216.1,,277.0,14.8,6.7,87.0
2025-06-01 10:00:00+05:00,56.0,314.8,,275.0,12.2,8.0,114.0
2025-06-01 11:00:00+05:00,70.3,406.1,,268.0,9.9,8.7,136.0
2025-06-01 12:00:00+05:00,78.2,448.9,,257.0,8.2,8.6,149.0
2025-06-01 13:00:00+05:00,81.7,447.0,,243.0,6.8,7.9,156.0
2025-06-01 14:00:00+05:00,86.1,434.0,,234.0,6.4,7.1,155.0
2025-06-01 15:00:00+05:00,91.5,413.5,,238.0,7.6,6.2,143.0
2025-06-01 16:00:00+05:00,91.3,373.5,,247.0,9.9,5.2,123.0
2025-06-01 17:00:00+05:00,58.8,285.9,,235.0,10.8,5.1,87.0
2025-06-01 18:00:00+05:00,50.6,241.2,,238.0,12.7,5.0,77.0
2025-06-01 19:00:00+05:00,39.2,182.1,,241.0,15.4,4.9,64.0
2025-06-01 20:00:00+05:00,30.2,138.3,,240.0,17.0,5.0,54.0
2025-06-01 21:00:00+05:00,24.7,107.1,,232.0,16.8,5.4,51.0
2025-06-01 22:00:00+05:00,22.2,91.3,,220.0,15.6,5.9,51.0
2025-06-01 23:00:00+05:00,20.8,77.8,,205.0,14.0,6.2,51.0
2025-06-02 00:00:00+05:00,19.6,66.4,,186.0,12.1,5.9,51.0
2025-06-02 01:00:00+05:00,18.5,59.3,,165.0,9.8,5.4,52.0
2025-06-02 02:00:00+05:00,17.1,53.9,,149.0,8.0,4.9,53.0
2025-06-02 03:00:00+05:00,16.5,50.6,,139.0,7.1,4.6,52.0
2025-06-02 04:00:00+05:00,15.9,47.4,,134.0,6.6,4.4,51.0
2025-06-02 05:00:00+05:00,15.4,41.4,,138.0,7.0,4.6,49.0
2025-06-02 06:00:00+05:00,15.7,42.5,,156.0,7.8,5.0,50.0
2025-06-02 07:00:00+05:00,15.4,49.1,,179.0,8.7,5.6,51.0
2025-06-02 08:00:00+05:00,15.7,54.2,,195.0,9.0,6.1,56.0
2025-06-02 09:00:00+05:00,15.9,58.2,,194.0,7.9,6.4,66.0
2025-06-02 10:00:00+05:00,16.2,61.7,,185.0,6.0,6.7,80.0
2025-06-02 11:00:00+05:00,16.7,61.7,,177.0,4.5,6.7,90.0
2025-06-02 12:00:00+05:00,16.9,61.2,,171.0,3.8,6.5,94.0
2025-06-02 13:00:00+05:00,17.0,61.7,,166.0,3.4,6.1,95.0
2025-06-02 14:00:00+05:00,16.8,60.1,,165.0,3.5,5.7,93.0
2025-06-02 15:00:00+05:00,16.8,59.0,,170.0,4.2,5.4,87.0
2025-06-02 16:00:00+05:00,16.5,55.9,,178.0,5.3,5.2,79.0
2025-06-02 17:00:00+05:00,18.1,65.4,,181.0,7.0,5.9,71.0
2025-06-02 18:00:00+05:00,17.9,64.3,,184.0,8.6,5.8,64.0
2025-06-02 19:00:00+05:00,17.8,58.6,,187.0,10.8,5.6,55.0
2025-06-02 20:00:00+05:00,17.5,53.7,,188.0,12.2,5.5,48.0
2025-06-02 21:00:00+05:00,17.3,52.7,,184.0,12.2,5.6,47.0
2025-06-02 22:00:00+05:00,17.2,52.7,,178.0,11.4,5.7,48.0
2025-06-02 23:00:00+05:00,17.1,53.0,,170.0,10.5,5.8,49.0
2025-06-03 00:00:00+05:00,16.9,53.6,,161.0,9.4,5.7,49.0
2025-06-03 01:00:00+05:00,16.8,52.5,,150.0,8.2,5.4,50.0
2025-06-03 02:00:00+05:00,16.5,52.3,,143.0,7.4,5.3,50.0
2025-06-03 03:00:00+05:00,16.2,50.6,,139.0,7.2,5.4,49.0
2025-06-03 04:00:00+05:00,15.7,49.2,,138.0,7.4,5.5,47.0
2025-06-03 05:00:00+05:00,13.2,46.0,,135.0,7.1,5.5,49.0
2025-06-03 06:00:00+05:00,12.7,47.7,,151.0,7.9,5.8,49.0
2025-06-03 07:00:00+05:00,12.6,49.5,,171.0,8.9,6.3,50.0
2025-06-03 08:00:00+05:00,12.9,57.7,,184.0,9.1,6.5,54.0
2025-06-03 09:00:00+05:00,14.0,76.8,,180.0,7.7,6.2,65.0
2025-06-03 10:00:00+05:00,14.8,91.0,,168.0,5.4,5.7,79.0
2025-06-03 11:00:00+05:00,15.9,102.4,,157.0,3.7,5.2,89.0
