date,pm2_5,pm10,carbon_dioxide,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2025-01-01 00:00:00+00:00,26.9,28.3,460.0,517.0,7.7,12.2,79.0
2025-01-01 01:00:00+00:00,27.2,28.9,460.0,707.0,14.1,13.1,72.0
2025-01-01 02:00:00+00:00,30.0,31.8,460.0,991.0,22.8,14.3,63.0
2025-01-01 03:00:00+00:00,34.9,36.8,460.0,1164.0,27.7,16.0,62.0
2025-01-01 04:00:00+00:00,38.4,40.0,459.0,1122.0,25.4,18.5,74.0
2025-01-01 05:00:00+00:00,40.3,42.3,457.0,969.0,19.4,21.4,94.0
2025-01-01 06:00:00+00:00,40.9,43.3,455.0,819.0,14.1,23.4,112.0
2025-01-01 07:00:00+00:00,38.0,41.0,453.0,692.0,10.9,23.7,125.0
2025-01-01 08:00:00+00:00,35.2,39.6,451.0,568.0,8.4,23.0,137.0
2025-01-01 09:00:00+00:00,33.2,39.5,450.0,497.0,7.5,22.5,143.0
2025-01-01 10:00:00+00:00,32.7,39.8,450.0,491.0,7.6,22.6,145.0
2025-01-01 11:00:00+00:00,32.4,40.4,450.0,538.0,9.3,22.8,141.0
2025-01-01 12:00:00+00:00,35.7,44.0,452.0,657.0,15.0,23.5,133.0
2025-01-01 13:00:00+00:00,47.4,52.7,456.0,927.0,29.0,22.3,108.0
2025-01-01 14:00:00+00:00,53.8,57.5,462.0,1269.0,47.7,20.7,75.0
2025-01-01 15:00:00+00:00,53.7,56.7,465.0,1456.0,57.7,19.2,53.0
2025-01-01 16:00:00+00:00,53.2,56.0,465.0,1346.0,50.6,18.1,54.0
2025-01-01 17:00:00+00:00,53.2,55.9,462.0,1083.0,34.7,17.2,66.0
2025-01-01 18:00:00+00:00,53.6,56.6,460.0,865.0,21.7,16.4,76.0
2025-01-01 19:00:00+00:00,53.6,56.8,459.0,772.0,16.0,15.8,79.0
2025-01-01 20:00:00+00:00,52.6,56.2,458.0,726.0,13.0,15.4,79.0
2025-01-01 21:00:00+00:00,51.1,54.8,458.0,692.0,11.0,15.2,79.0
2025-01-01 22:00:00+00:00,49.6,53.3,458.0,634.0,8.5,15.2,80.0
2025-01-01 23:00:00+00:00,48.5,52.0,458.0,588.0,7.0,15.5,82.0
2025-01-02 00:00:00+00:00,48.7,52.5,459.0,633.0,8.5,16.2,80.0
2025-01-02 01:00:00+00:00,48.3,52.3,461.0,860.0,15.6,17.6,73.0
2025-01-02 02:00:00+00:00,50.5,54.2,464.0,1176.0,25.2,19.6,65.0
2025-01-02 03:00:00+00:00,54.5,57.9,465.0,1387.0,30.8,21.3,64.0
2025-01-02 04:00:00+00:00,56.1,58.9,464.0,1404.0,28.8,22.5,78.0
2025-01-02 05:00:00+00:00,54.1,57.0,462.0,1315.0,22.9,23.3,99.0
2025-01-02 06:00:00+00:00,44.1,47.4,460.0,1184.0,17.4,24.0,119.0
2025-01-02 07:00:00+00:00,30.2,33.6,457.0,976.0,13.3,24.3,135.0
2025-01-02 08:00:00+00:00,24.1,27.8,454.0,727.0,9.7,24.3,149.0
2025-01-02 09:00:00+00:00,22.7,26.7,453.0,608.0,8.0,24.6,158.0
2025-01-02 10:00:00+00:00,22.6,26.6,451.0,563.0,5.7,24.9,163.0
2025-01-02 11:00:00+00:00,23.2,27.0,451.0,648.0,5.3,25.5,164.0
2025-01-02 12:00:00+00:00,41.9,50.4,459.0,1207.0,16.4,28.0,157.0
2025-01-02 13:00:00+00:00,59.6,66.6,484.0,2815.0,45.1,31.5,117.0
2025-01-02 14:00:00+00:00,79.2,85.4,516.0,4897.0,84.0,36.2,62.0
2025-01-02 15:00:00+00:00,87.3,92.4,537.0,6071.0,109.1,38.3,22.0
2025-01-02 16:00:00+00:00,83.1,87.5,536.0,5523.0,107.4,35.6,12.0
2025-01-02 17:00:00+00:00,76.4,79.4,523.0,4067.0,91.8,30.2,17.0
2025-01-02 18:00:00+00:00,70.1,72.9,509.0,2763.0,76.9,25.2,24.0
2025-01-02 19:00:00+00:00,66.4,69.2,494.0,1949.0,67.8,21.1,28.0
2025-01-02 20:00:00+00:00,64.3,68.0,478.0,1287.0,59.3,17.4,33.0
2025-01-02 21:00:00+00:00,63.8,68.0,467.0,823.0,50.3,14.7,39.0
2025-01-02 22:00:00+00:00,64.0,68.5,463.0,589.0,38.2,13.6,47.0
